player_name,Player Name,Slate-Tournament,Headshot,Player ID,Draftable ID,Tournament,Game Start Time,Salary,Fantasy Points,Ownership,Made Cut,MC,Win,Top 5,Top 10,Top 20,Teetime,Course,updated_at
Talor Gooch,Talor Gooch,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/527.png,729,43867168,LIV Golf Indianapolis,8/20/2026,7500,19.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195131Z
Bubba Watson,Bubba Watson,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/637.png,411,43867169,LIV Golf Indianapolis,8/20/2026,7500,19.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195133Z
Emiliano Grillo,Emiliano Grillo,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1085.png,610,44134936,Biltmore Championship Asheville,9/17/2026,7400,79.04,11.94,0.6478,0.3522,5544.5 (0.02),1147.5 (0.08),557.9 (0.15),248.6 (0.29),8:07:36 AM,EL,2026-09-17T22:13:00.195136Z
Chris Kirk,Chris Kirk,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1078.png,2170,44134937,Biltmore Championship Asheville,9/17/2026,7400,79.58,7.63,0.6368,0.3632,6796.5 (0.01),1225.4 (0.08),585.0 (0.15),268.2 (0.27),8:29:36 AM,EL,2026-09-17T22:13:00.195138Z
Nicolas Echavarria,Nicolas Echavarria,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/525572.png,703899,44134938,Biltmore Championship Asheville,9/17/2026,7400,88.12,10.09,0.6433,0.3567,5984.7 (0.02),1222.6 (0.08),580.8 (0.15),264.5 (0.27),8:29:36 AM,EL,2026-09-17T22:13:00.195140Z
Tony Finau,Tony Finau,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/808.png,2125,44134939,Biltmore Championship Asheville,9/17/2026,7400,81.32,6.12,0.6526,0.3474,7669.4 (0.01),1466.9 (0.06),680.0 (0.13),310.5 (0.24),1:30:36 PM,EL,2026-09-17T22:13:00.195142Z
Laurie Canter,Laurie Canter,Classic: LIV,https://dkn.gs/sports/images/countries/50/england.png,834,43867170,LIV Golf Indianapolis,8/20/2026,7400,19.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195145Z
Sebastián Muñoz,Sebastián Muñoz,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/662.png,320038,43867171,LIV Golf Indianapolis,8/20/2026,7400,19.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195148Z
Laurie Canter,Laurie Canter,Classic: LIV,https://dkn.gs/sports/images/countries/50/england.png,834,43867170,LIV Golf Indianapolis,8/20/2026,7400,19.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195150Z
Sebastián Muñoz,Sebastián Muñoz,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/662.png,320038,43867171,LIV Golf Indianapolis,8/20/2026,7400,19.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195153Z
Hao-Tong Li,Hao-Tong Li,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/767.png,1132,44134940,Biltmore Championship Asheville,9/17/2026,7300,67.27,6.02,0.6174,0.3826,7117.9 (0.01),1507.5 (0.06),683.8 (0.13),309.5 (0.24),2:36:36 PM,EL,2026-09-17T22:13:00.195155Z
